Date,Handy_Odessa_Agioi_30,Handy_Fawley_Rotterdam_30,Handy_Lavera_Augusta_30
2007-12-07T00:00:00Z,45970.54556,40816.49812,55038.35675
2007-12-14T00:00:00Z,43866.12486,52450.93498,53024.09446
2007-12-21T00:00:00Z,39818.16648,54125.01348,49131.57689
2007-12-28T00:00:00Z,39818.16648,52317.50495,45429.46916
2008-01-04T00:00:00Z,35779.29696,51915.22395,46906.75644
2008-01-11T00:00:00Z,31400.98425,51270.03624,42461.41686
2008-01-18T00:00:00Z,26065.49494,51587.72679,37058.09914
2008-01-25T00:00:00Z,23408.47582,52703.09653,34365.50742
2008-02-01T00:00:00Z,18193.57143,40160.26377,29212.9313
2008-02-08T00:00:00Z,15879.7694,31977.24898,26810.4879
2008-02-15T00:00:00Z,17043.33521,32457.2376,28091.74473
2008-02-22T00:00:00Z,17657.29471,30340.86672,28759.57455
2008-02-29T00:00:00Z,17043.33521,33882.49357,28091.74473
2008-03-07T00:00:00Z,13399.56693,34888.39801,24564.97658
2008-03-14T00:00:00Z,17399.88189,40640.25239,28541.96331
2008-03-21T00:00:00Z,17271.17548,40564.00666,28433.15769
2008-03-28T00:00:00Z,26896.56918,43319.21143,38058.27479
2008-04-04T00:00:00Z,31100.66929,44440.93498,42207.53708
2008-04-11T00:00:00Z,26682.05849,45092.47651,36900.81967
2008-04-18T00:00:00Z,29328.35208,44920.92361,40560.45667
2008-04-25T00:00:00Z,38221.8054,48297.35137,43561.33099
2008-05-02T00:00:00Z,38253.982,48791.49812,49445.20687
2008-05-09T00:00:00Z,37524.64567,50259.78026,48828.64169
2008-05-16T00:00:00Z,41471.33296,54079.52429,52760.29274
2008-05-23T00:00:00Z,44291.83915,57232.11815,55739.89461
2008-05-30T00:00:00Z,45021.17548,59564.5186,56356.4598
2008-06-06T00:00:00Z,49300.35433,61680.88948,60569.19204
2008-06-13T00:00:00Z,48798.85827,63654.57548,60294.03981
2008-06-20T00:00:00Z,54455.47008,62576.94738,65968.82756
2008-06-27T00:00:00Z,57263.29021,60600.74158,68788.9032
2008-07-04T00:00:00Z,49782.69404,55846.98732,61572.15847
2008-07-11T00:00:00Z,47964.87064,54029.24556,59737.8064
2008-07-18T00:00:00Z,44642.86839,49999.82577,56483.0523
2008-07-25T00:00:00Z,43433.7964,52923.13066,55014.52381
2008-08-01T00:00:00Z,36854.14511,51553.60848,48559.41842
2008-08-08T00:00:00Z,21743.10461,49027.1409,33404.04372
2008-08-15T00:00:00Z,18725.47807,47368.24443,30332.20141
2008-08-22T00:00:00Z,33786.95163,51105.38891,45371.27244
2008-08-29T00:00:00Z,31196.88976,51680.6847,42884.08665
2008-09-05T00:00:00Z,28236.95163,50345.8326,39786.61202
2008-09-12T00:00:00Z,25727.48594,50228.01121,37069.95706
2008-09-19T00:00:00Z,35790.0225,50971.40711,46915.82358
2008-09-26T00:00:00Z,42117.46907,53882.55614,53455.32397
2008-10-03T00:00:00Z,39310.29246,55859.14318,50635.79235
2008-10-10T00:00:00Z,34794.0045,56001.82804,45850.6089
2008-10-17T00:00:00Z,40321.40607,56297.00438,51044.16081
2008-10-24T00:00:00Z,41179.44882,53479.712,51769.53162
2008-10-31T00:00:00Z,35672.35096,50370.14431,46221.13973
2008-11-07T00:00:00Z,36927.23847,47312.85762,47281.99454
2008-11-14T00:00:00Z,37381.77165,37420.11587,47591.84621
2008-11-21T00:00:00Z,39242.49719,40688.52884,49462.46682
2008-11-28T00:00:00Z,44378.26209,39117.13521,54622.54098
2008-12-05T00:00:00Z,42828.57705,38408.40939,53014.86729
2008-12-12T00:00:00Z,42656.9685,38306.74841,52869.79313
2008-12-19T00:00:00Z,36892.45782,38370.28652,47103.79001
2008-12-26T00:00:00Z,37535.98988,38751.51519,47647.81811
2009-01-02T00:00:00Z,28038.27275,41963.84608,40680.04649
2009-01-09T00:00:00Z,10688.89072,29013.74141,22556.32517
2009-01-16T00:00:00Z,10375.12153,28930.35149,22122.54969
2009-01-23T00:00:00Z,7875.17202,26041.89516,19492.48685
2009-01-30T00:00:00Z,6552.91587,23783.53822,18071.51338
2009-02-06T00:00:00Z,6592.0461,21835.35985,18071.51338
2009-02-13T00:00:00Z,8649.39671,21842.1995,20175.56365
2009-02-20T00:00:00Z,10645.82435,22101.47472,22307.02385
2009-02-27T00:00:00Z,9058.76385,24148.61167,20636.74907
2009-03-06T00:00:00Z,11366.271,25149.4807,23082.33774
2009-03-13T00:00:00Z,13681.28102,25162.40004,25370.86217
2009-03-20T00:00:00Z,12930.45347,24874.82154,24568.13836
2009-03-27T00:00:00Z,11639.86403,22829.76569,23276.29681
2009-04-03T00:00:00Z,8701.89123,21333.15209,20157.11624
2009-04-10T00:00:00Z,8428.2172,21311.11321,19843.51015
2009-04-17T00:00:00Z,3705.20331,20178.23081,14888.02805
2009-04-24T00:00:00Z,3593.39021,21973.57253,14841.64831
2009-05-01T00:00:00Z,2305.36781,20276.05296,13402.22743
2009-05-08T00:00:00Z,1837.2845,19530.33038,12867.25235
2009-05-15T00:00:00Z,2610.22567,19618.08128,13624.11882
2009-05-22T00:00:00Z,3488.19753,21465.39063,14491.66979
2009-05-29T00:00:00Z,3276.49011,20908.92832,14214.95854
2009-06-05T00:00:00Z,2336.33102,22962.8328,13273.87909
2009-06-12T00:00:00Z,4653.44987,23744.69752,15691.79664
2009-06-19T00:00:00Z,9329.00535,24887.83588,20601.1602
2009-06-26T00:00:00Z,11354.87051,25941.51166,22640.64451
2009-07-03T00:00:00Z,8665.72908,24874.54007,19789.21268
2009-07-10T00:00:00Z,7093.3974,25259.74897,18146.34782
2009-07-17T00:00:00Z,6787.09402,22842.0271,17758.95208
2009-07-24T00:00:00Z,6517.67472,20764.87519,17500.68824
2009-07-31T00:00:00Z,5637.09418,19912.9234,16633.13727
2009-08-07T00:00:00Z,3910.04649,19181.06483,14787.87322
2009-08-14T00:00:00Z,2352.00237,19187.90448,13099.15102
2009-08-21T00:00:00Z,1892.46787,18982.95594,12646.92812
2009-08-28T00:00:00Z,2000.10724,19165.87264,12757.61262
2009-09-04T00:00:00Z,1418.64579,19282.31032,12240.56257
2009-09-11T00:00:00Z,1308.39774,18855.19096,12129.87807
2009-09-18T00:00:00Z,2855.6446,21251.56883,13689.46836
2009-09-25T00:00:00Z,7583.87585,25640.8291,18644.95046
2009-10-02T00:00:00Z,11687.17971,25594.29379,22908.39325
2009-10-09T00:00:00Z,6340.88445,24504.33865,17316.21408
2009-10-16T00:00:00Z,5211.1123,23279.52204,16227.29411
2009-10-23T00:00:00Z,5760.30693,24917.89833,16799.68641
2009-10-30T00:00:00Z,5878.70191,25034.14426,16891.92349
2009-11-06T00:00:00Z,6478.42413,24657.86314,17408.97355
2009-11-13T00:00:00Z,7537.76186,23667.44182,18497.89351
2009-11-20T00:00:00Z,7435.01897,23595.45132,18405.65643
2009-11-27T00:00:00Z,7757.6162,23679.2177,18756.15735
